time_ref,account,code,country_code,product_type,value,status
2020-09-30,Imports,27,FI,Goods,1714.0,F
2020-09-30,Imports,27,FR,Goods,900491.0,F
2020-09-30,Imports,27,GB,Goods,1087774.0,F
2020-09-30,Imports,27,GR,Goods,46514.0,F
2020-09-30,Imports,27,HK,Goods,941799.0,F
2020-09-30,Imports,27,HU,Goods,84.0,F
2020-09-30,Imports,27,ID,Goods,3905737.0,F
2020-09-30,Imports,27,IL,Goods,16429.0,F
2020-09-30,Imports,27,IN,Goods,407743.0,F
2020-09-30,Imports,27,IT,Goods,788838.0,F
2020-09-30,Imports,27,JP,Goods,4481962.0,F
2020-09-30,Imports,27,KR,Goods,2.52702534E8,F
2020-09-30,Imports,27,LT,Goods,230312.0,F
2020-09-30,Imports,27,LV,Goods,98585.0,F
2020-09-30,Imports,27,MX,Goods,240.0,F
2020-09-30,Imports,27,MY,Goods,4.9537478E7,F
2020-09-30,Imports,27,NL,Goods,737521.0,F
2020-09-30,Imports,27,NO,Goods,248.0,F
2020-09-30,Imports,27,NZ,Goods,7965.0,F
2020-09-30,Imports,27,PF,Goods,15000.0,F
2020-09-30,Imports,27,PL,Goods,53270.0,F
2020-09-30,Imports,27,RU,Goods,5.5336735E7,F
2020-09-30,Imports,27,SA,Goods,1.3272118E7,F
2020-09-30,Imports,27,SE,Goods,195211.0,F
2020-09-30,Imports,27,SG,Goods,2.39716776E8,F
2020-09-30,Imports,27,SK,Goods,816.0,F
2020-09-30,Imports,27,SZ,Goods,170.0,F
2020-09-30,Imports,27,TH,Goods,3168188.0,F
2020-09-30,Imports,27,TR,Goods,20514.0,F
2020-09-30,Imports,27,TW,Goods,27200.0,F
2020-09-30,Imports,27,US,Goods,2715067.0,F
2020-09-30,Imports,27,VN,Goods,513374.0,F
2020-09-30,Imports,27,ZA,Goods,18056.0,F
2020-09-30,Imports,2701,AU,Goods,51222.0,F
2020-09-30,Imports,2702,AU,Goods,30155.0,F
2020-09-30,Imports,2703,AU,Goods,3765.0,F
2020-09-30,Imports,2703,CA,Goods,9408.0,F
2020-09-30,Imports,2703,DE,Goods,213164.0,F
2020-09-30,Imports,2703,EE,Goods,33543.0,F
2020-09-30,Imports,2703,LT,Goods,70761.0,F
2020-09-30,Imports,2703,LV,Goods,98585.0,F
2020-09-30,Imports,2703,NL,Goods,376438.0,F
2020-09-30,Imports,2704,CN,Goods,4156873.0,F
2020-09-30,Imports,2704,US,Goods,23482.0,F
2020-09-30,Imports,2707,AU,Goods,2050.0,F
2020-09-30,Imports,2707,CN,Goods,4.0,F
2020-09-30,Imports,2707,KR,Goods,61756.0,F
2020-09-30,Imports,2707,MY,Goods,1154.0,F
2020-09-30,Imports,2707,NL,Goods,12637.0,F
2020-09-30,Imports,2707,SG,Goods,1788.0,F
2020-09-30,Imports,2707,US,Goods,6008.0,F
2020-09-30,Imports,2709,AE,Goods,1.64275354E8,F
2020-09-30,Imports,2709,AU,Goods,9668.0,F
2020-09-30,Imports,2709,KR,Goods,11844.0,F
2020-09-30,Imports,2709,MY,Goods,4.4094138E7,F
2020-09-30,Imports,2709,RU,Goods,5.5336735E7,F
2020-09-30,Imports,2709,SA,Goods,1.3272118E7,F
2020-09-30,Imports,2710,AE,Goods,129774.0,F
2020-09-30,Imports,2710,AT,Goods,2111.0,F
2020-09-30,Imports,2710,AU,Goods,3.2145734E7,F
2020-09-30,Imports,2710,BE,Goods,2210915.0,F
2020-09-30,Imports,2710,BG,Goods,72687.0,F
2020-09-30,Imports,2710,BN,Goods,4.4964277E7,F
2020-09-30,Imports,2710,CA,Goods,145235.0,F
2020-09-30,Imports,2710,CH,Goods,88011.0,F
2020-09-30,Imports,2710,CN,Goods,183402.0,F
2020-09-30,Imports,2710,CZ,Goods,2389.0,F
2020-09-30,Imports,2710,DE,Goods,1488318.0,F
2020-09-30,Imports,2710,DK,Goods,7413.0,F
2020-09-30,Imports,2710,ES,Goods,252008.0,F
2020-09-30,Imports,2710,FI,Goods,1714.0,F
2020-09-30,Imports,2710,FR,Goods,856811.0,F
2020-09-30,Imports,2710,GB,Goods,893425.0,F
2020-09-30,Imports,2710,GR,Goods,46514.0,F
2020-09-30,Imports,2710,HK,Goods,941799.0,F
2020-09-30,Imports,2710,HU,Goods,84.0,F
2020-09-30,Imports,2710,ID,Goods,118458.0,F
2020-09-30,Imports,2710,IL,Goods,16429.0,F
2020-09-30,Imports,2710,IN,Goods,405660.0,F
2020-09-30,Imports,2710,IT,Goods,735283.0,F
2020-09-30,Imports,2710,JP,Goods,4373855.0,F
2020-09-30,Imports,2710,KR,Goods,2.5173463E8,F
2020-09-30,Imports,2710,LT,Goods,19049.0,F
2020-09-30,Imports,2710,MX,Goods,240.0,F
2020-09-30,Imports,2710,MY,Goods,4546508.0,F
2020-09-30,Imports,2710,NL,Goods,263582.0,F
2020-09-30,Imports,2710,NO,Goods,248.0,F
2020-09-30,Imports,2710,NZ,Goods,7965.0,F
2020-09-30,Imports,2710,PF,Goods,15000.0,F
2020-09-30,Imports,2710,PL,Goods,53270.0,F
2020-09-30,Imports,2710,SE,Goods,194045.0,F
2020-09-30,Imports,2710,SG,Goods,2.39714988E8,F
2020-09-30,Imports,2710,SK,Goods,707.0,F
2020-09-30,Imports,2710,SZ,Goods,170.0,F
2020-09-30,Imports,2710,TH,Goods,3168188.0,F
2020-09-30,Imports,2710,TR,Goods,20514.0,F
2020-09-30,Imports,2710,TW,Goods,25308.0,F
2020-09-30,Imports,2710,US,Goods,2388445.0,F
2020-09-30,Imports,2710,VN,Goods,513374.0,F
2020-09-30,Imports,2710,ZA,Goods,2982.0,F
2020-09-30,Imports,2711,AU,Goods,7957454.0,F
2020-09-30,Imports,2711,BE,Goods,156.0,F
2020-09-30,Imports,2711,CN,Goods,96228.0,F
2020-09-30,Imports,2711,DE,Goods,4663.0,F
2020-09-30,Imports,2711,FR,Goods,26666.0,F
2020-09-30,Imports,2711,GB,Goods,133969.0,F
2020-09-30,Imports,2711,IT,Goods,3645.0,F
2020-09-30,Imports,2711,KR,Goods,888397.0,F
2020-09-30,Imports,2711,MY,Goods,15307.0,F
2020-09-30,Imports,2711,TW,Goods,1892.0,F
2020-09-30,Imports,2711,US,Goods,181102.0,F
2020-09-30,Imports,2712,AE,Goods,998.0,F
2020-09-30,Imports,2712,AU,Goods,86309.0,F
2020-09-30,Imports,2712,CN,Goods,431250.0,F
2020-09-30,Imports,2712,DE,Goods,125868.0,F
2020-09-30,Imports,2712,GB,Goods,1278.0,F
2020-09-30,Imports,2712,IN,Goods,2083.0,F
2020-09-30,Imports,2712,IT,Goods,51.0,F
2020-09-30,Imports,2712,JP,Goods,108107.0,F
2020-09-30,Imports,2712,KR,Goods,5232.0,F
2020-09-30,Imports,2712,MY,Goods,843157.0,F
2020-09-30,Imports,2712,NL,Goods,16396.0,F
2020-09-30,Imports,2712,SE,Goods,1166.0,F
2020-09-30,Imports,2712,SK,Goods,109.0,F
2020-09-30,Imports,2712,US,Goods,40546.0,F
2020-09-30,Imports,2712,ZA,Goods,15074.0,F
2020-09-30,Imports,2713,BR,Goods,1.2357577E7,F
2020-09-30,Imports,2713,CN,Goods,17197.0,F
2020-09-30,Imports,2713,GB,Goods,58661.0,F
2020-09-30,Imports,2713,ID,Goods,3787279.0,F
2020-09-30,Imports,2714,AE,Goods,17829.0,F
2020-09-30,Imports,2714,AU,Goods,39294.0,F
2020-09-30,Imports,2715,AS,Goods,1000.0,F
2020-09-30,Imports,2715,AU,Goods,49976.0,F
2020-09-30,Imports,2715,BE,Goods,6978.0,F
2020-09-30,Imports,2715,CA,Goods,58001.0,F
2020-09-30,Imports,2715,DE,Goods,5142.0,F
2020-09-30,Imports,2715,FR,Goods,17014.0,F
2020-09-30,Imports,2715,GB,Goods,441.0,F
2020-09-30,Imports,2715,IT,Goods,49859.0,F
2020-09-30,Imports,2715,KR,Goods,675.0,F
2020-09-30,Imports,2715,LT,Goods,140502.0,F
2020-09-30,Imports,2715,MY,Goods,37214.0,F
2020-09-30,Imports,2715,NL,Goods,68468.0,F
2020-09-30,Imports,2715,US,Goods,75484.0,F
2020-09-30,Imports,28,AE,Goods,1645.0,F
2020-09-30,Imports,28,AT,Goods,207340.0,F
2020-09-30,Imports,28,AU,Goods,7.9411258E7,F
2020-09-30,Imports,28,BE,Goods,406520.0,F
2020-09-30,Imports,28,BR,Goods,14035.0,F
2020-09-30,Imports,28,CA,Goods,702977.0,F
2020-09-30,Imports,28,CC,Goods,222.0,F
2020-09-30,Imports,28,CH,Goods,25602.0,F
2020-09-30,Imports,28,CL,Goods,626472.0,F
2020-09-30,Imports,28,CN,Goods,1.7713167E7,F
2020-09-30,Imports,28,CZ,Goods,59559.0,F
2020-09-30,Imports,28,DE,Goods,2749549.0,F
2020-09-30,Imports,28,DK,Goods,38916.0,F
2020-09-30,Imports,28,EE,Goods,436866.0,F
2020-09-30,Imports,28,EG,Goods,666479.0,F
2020-09-30,Imports,28,ES,Goods,91205.0,F
2020-09-30,Imports,28,FI,Goods,108688.0,F
2020-09-30,Imports,28,FR,Goods,414615.0,F
2020-09-30,Imports,28,GB,Goods,488353.0,F
2020-09-30,Imports,28,GR,Goods,1967.0,F
2020-09-30,Imports,28,HK,Goods,255820.0,F
2020-09-30,Imports,28,HU,Goods,133825.0,F
2020-09-30,Imports,28,ID,Goods,236029.0,F
2020-09-30,Imports,28,IL,Goods,1027749.0,F
2020-09-30,Imports,28,IN,Goods,1362864.0,F
2020-09-30,Imports,28,IR,Goods,9709.0,F
2020-09-30,Imports,28,IT,Goods,734346.0,F
2020-09-30,Imports,28,JP,Goods,3403688.0,F
2020-09-30,Imports,28,KR,Goods,1510432.0,F
2020-09-30,Imports,28,LT,Goods,65307.0,F
2020-09-30,Imports,28,LV,Goods,22693.0,F
2020-09-30,Imports,28,MX,Goods,28454.0,F
2020-09-30,Imports,28,MY,Goods,1038092.0,F
2020-09-30,Imports,28,NL,Goods,280880.0,F
2020-09-30,Imports,28,NO,Goods,98721.0,F
2020-09-30,Imports,28,NZ,Goods,233.0,F
2020-09-30,Imports,28,OM,Goods,61865.0,F
2020-09-30,Imports,28,PE,Goods,271967.0,F
2020-09-30,Imports,28,PH,Goods,170256.0,F
2020-09-30,Imports,28,PL,Goods,50318.0,F
2020-09-30,Imports,28,RO,Goods,217.0,F
2020-09-30,Imports,28,RU,Goods,180763.0,F
2020-09-30,Imports,28,SE,Goods,52849.0,F
2020-09-30,Imports,28,SG,Goods,175535.0,F
2020-09-30,Imports,28,SK,Goods,199949.0,F
2020-09-30,Imports,28,TH,Goods,1499094.0,F
2020-09-30,Imports,28,TR,Goods,2931700.0,F
2020-09-30,Imports,28,TW,Goods,1185137.0,F
2020-09-30,Imports,28,UA,Goods,7137.0,F
2020-09-30,Imports,28,US,Goods,6947613.0,F
2020-09-30,Imports,28,VN,Goods,20793.0,F
2020-09-30,Imports,28,ZA,Goods,127002.0,F
2020-09-30,Imports,2801,AU,Goods,317717.0,F
2020-09-30,Imports,2801,CL,Goods,446492.0,F
2020-09-30,Imports,2801,CN,Goods,239348.0,F
2020-09-30,Imports,2801,DE,Goods,492.0,F
2020-09-30,Imports,2801,ES,Goods,644.0,F
2020-09-30,Imports,2801,FR,Goods,1412.0,F
2020-09-30,Imports,2801,GB,Goods,314.0,F
2020-09-30,Imports,2801,IN,Goods,83926.0,F
2020-09-30,Imports,2801,MY,Goods,4776.0,F
2020-09-30,Imports,2801,NZ,Goods,68.0,F
